Run,Accuracy,Precision,Recall,Macro F1
0,0.13333333333333333,0.039285714285714285,0.15,0.05833333333333333
1,0.2,0.12857142857142856,0.15,0.11111111111111112
2,0.13333333333333333,0.025,0.1,0.04
